Rank,Team Name,Spearman Correlation
1,Team PALI ,0.8595757872443139
2,Team UAlbertaNLP ,0.8531919345058939
3,Team Tu╠êbingen-CL ,0.849974744378661
4,Team AAdaM ,0.8484363552930815
5,Team team triplet ,0.847886197958785
6,Team silp_nlp ,0.8446222645478688
7,Team king001 ,0.8430855839798352
8,Team WarwickNLP ,0.8424690549692839
9,Team UMBCLU ,0.8380495900384185
10,Team Pinealai ,0.8371629908941565
11,Team MasonTigers ,0.8356029776840298
12,Team NLP_Team1@SSN ,0.8352406505128713
13,Team NLP-LISAC ,0.8345843315824089
14,Team NRK ,0.8329006351797468
15,Team BITS Pilani ,0.8323738276736735
16,Team MBZUAI-UNAM ,0.8316247242864114
17,Team Unknown ,0.830614775302459
18,Team GIL-IIMAS UNAM ,0.8304477685655565
19,Team Sharif_STR ,0.8274037401559172
20,Team CAILMD-23 ,0.8230470298455522
21,LuisRamos07,0.8222886027539376
22,Team SemanticCUETSync ,0.822185981994856
23,Team YSP ,0.8194335479884559
24,Team VerbaNexAI Lab ,0.8191893093077695
25,Team Fired_from_NLP ,0.8103341861373389
26,Roronoa_Zoro,0.8097665110768075
27,Team NLP_STR_teamS ,0.8094496927247761
28,Team BpHigh ,0.8088660692096908
29,Team INGEOTEC ,0.8086495396254911
30,msiino,0.8085858874565998
31,Team IITK ,0.8084445507495078
32,Team OZemi ,0.8052271883910465
33,Team HausaNLP ,0.7943721619795582
34,Team KINLP ,0.7400029555806474
35,Team Text Mining ,0.7201982136423396
36,Team YNUNLP2023 ,0.5572462276368667
